Instrument,Qty.,Avg. cost,LTP,Cur. val,P&L,Net chg.,Day chg.
GEEKAYWIRE,0,182.72,160.3,0,0,-12.27,-4.61
POLYCAB,20,3037.31,2822.7,56454,-4292.23,-7.07,-1.35
CHOLAFIN,60,761.91,728.55,43713,-2001.77,-4.38,-2.45
GRAVITA,0,498.57,477.6,0,0,-4.21,-3.89
HGINFRA,0,813.11,779.35,0,0,-4.15,-3.88
WABAG,0,354.6,341.5,0,0,-3.69,-4.64
ROTO,50,624,611.65,30582.5,-617.5,-1.98,-0.79
NCC,0,103.89,101.9,0,0,-1.92,-3.82
JBMA,80,629.75,618.9,49512,-867.95,-1.72,-3.13
RAMKY,0,287.49,283.55,0,0,-1.37,-0.91
IONEXCHANG,32,3396.85,3363.7,107638.4,-1060.85,-0.98,-2.5
AEGISLOG,0,394.84,391.55,0,0,-0.83,-0.61
INTEGRAEN,550,128.23,127.26,69993,-534.5,-0.76,-1.73
SHBCLQ,64,488.68,485,31040,-235.5,-0.75,0.84
HARIOMPIPE,70,485.47,483.35,33834.5,-148.5,-0.44,-1.46
FINCABLES,109,790.51,788.75,85973.75,-192.04,-0.22,-3.75
APARINDS,71,2329.7,2328.75,165341.25,-67.6,-0.04,0.66
INGERRAND,15,2418.41,2428.3,36424.5,148.3,0.41,-0.16
KSB,7,2064.95,2080.3,14562.1,107.45,0.74,0.05
KPITTECH,95,876.88,886.55,84222.25,918.5,1.1,0.57
TITAN,0,2463.41,2493.35,0,0,1.22,-1.02
ABB,18,3290.89,3346.7,60240.6,1004.6,1.7,-0.41
NITTAGELA,82,825.44,863.8,70831.6,3145.3,4.65,3.31
CENLUB,700,207.31,217.85,152495,7379.95,5.09,-0.11
TDPOWERSYS,0,156.45,169.55,0,0,8.37,-0.29
WAAREERTL,558,679.84,766.6,427762.8,48411.1,12.76,-2.54
PIIND,163,2122.41,2934.1,478258.3,132305.45,38.24,-0.77
HDFCBANK,81,1121.48,1560.65,126412.65,35572.7,39.16,-0.16
